P1 P2 P3 Time
4 7 16 55855
4 7 17 55855
4 8 1 57815
4 8 2 56765
4 8 3 56315
4 8 4 56165
4 8 5 56015
4 8 6 56015
4 8 7 56015
4 8 8 55865
4 8 9 55865
4 8 10 55865
4 8 11 55865
4 8 12 55865
4 8 13 55865
4 8 14 55865
4 8 15 55715
4 8 16 55715
4 8 17 55715
4 9 1 57815
4 9 2 56765
4 9 3 56315
4 9 4 56165
4 9 5 56015
4 9 6 56015
4 9 7 56015
4 9 8 55865
4 9 9 55865
4 9 10 55865
4 9 11 55865
4 9 12 55865
4 9 13 55865
4 9 14 55865
4 9 15 55715
4 9 16 55715
4 9 17 55715
4 10 1 57815
4 10 2 56765
4 10 3 56315
4 10 4 56165
4 10 5 56015
4 10 6 56015
4 10 7 56015
4 10 8 55865
4 10 9 55865
4 10 10 55865
4 10 11 55865
4 10 12 55865
4 10 13 55865
4 10 14 55865
4 10 15 55715
4 10 16 55715
4 10 17 55715
4 11 1 57815
4 11 2 56765
4 11 3 56315
4 11 4 56165
4 11 5 56015
4 11 6 56015
4 11 7 56015
4 11 8 55865
4 11 9 55865
4 11 10 55865
4 11 11 55865
4 11 12 55865
4 11 13 55865
4 11 14 55865
4 11 15 55715
4 11 16 55715
4 11 17 55715
4 12 1 57675
4 12 2 56625
4 12 3 56175
4 12 4 56025
4 12 5 55875
4 12 6 55875
4 12 7 55875
4 12 8 55725
4 12 9 55725
4 12 10 55725
4 12 11 55725
4 12 12 55725
4 12 13 55725
4 12 14 55725
4 12 15 55575
4 12 16 55575
4 12 17 55575
4 13 1 57675
4 13 2 56625
4 13 3 56175
4 13 4 56025
4 13 5 55875
4 13 6 55875
4 13 7 55875
4 13 8 55725
4 13 9 55725
4 13 10 55725
4 13 11 55725
4 13 12 55725
4 13 13 55725
4 13 14 55725
4 13 15 55575
4 13 16 55575
4 13 17 55575
4 14 1 57675
4 14 2 56625
4 14 3 56175
4 14 4 56025
4 14 5 55875
4 14 6 55875
4 14 7 55875
4 14 8 55725
4 14 9 55725
4 14 10 55725
4 14 11 55725
4 14 12 55725
4 14 13 55725
4 14 14 55725
4 14 15 55575
4 14 16 55575
4 14 17 55575
4 15 1 57675
4 15 2 56625
4 15 3 56175
4 15 4 56025
4 15 5 55875
4 15 6 55875
4 15 7 55875
4 15 8 55725
4 15 9 55725
4 15 10 55725
4 15 11 55725
4 15 12 55725
4 15 13 55725
4 15 14 55725
4 15 15 55575
4 15 16 55575
4 15 17 55575
4 16 1 57675
4 16 2 56625
4 16 3 56175
4 16 4 56025
4 16 5 55875
4 16 6 55875
4 16 7 55875
4 16 8 55725
4 16 9 55725
4 16 10 55725
4 16 11 55725
4 16 12 55725
4 16 13 55725
4 16 14 55725
4 16 15 55575
4 16 16 55575
